,,"Cabbage (green, raw)",Mango,Chicken,"Rice (white, long grain, unenriched, raw)",Soybean Oil,"Bread (white, enriched, unbleached)","Onion (yellow, raw)",Raw Sugar,Beans (Black),Fish/tuna,Eggs,Corn,Cheese ,Wheat,"Beef(Bovine Meat) ; (80% lean, 20% fat) ","Pig Meat (pork belly, with skin, raw)",Edible Offal (chicken liver raw),Edible Offal (beef liver raw),Edible Offal (pork liver),Edible Offal (lamb liver raw),Fish Fillet (cod),"Dried/Salted/Smoked/Brined Fish (Fish, cod, Atlantic, dried and salted)",Cassava,plantains,maize/corn,sweet potatoes,yams,avocados,papayas,coconut,oranges,lime,shiitake mushrooms
"Sodium, Na",mg,16.1,2.49,48,0.46,0,3,1,1,,219,129,2.5,654,2,54.94,49.7,71,69,87,59,298.8,7027,14,4,15,154,154,7,8,20,9,2,1
Energy,kcal,31,78,127,359,884,1520,160,401,,85,143,85,409,362,242.61,380.45,496,564,561,569,65.99,1212,667,122,86,82,82,160,43,354,52,30,44
Protein,g,0.96,0.69,21.4,7.04,0,14.3,0.83,0,24.4,19,12.4,2.79,23.3,12,17.53,15.2,16.92,20.36,21.39,20.7,16.07,62.82,1.36,1.3,3.27,1.64,1.64,2,0.47,3.33,0.91,0.7,2.41
"Fiber, total dietary",g,0,1.3,0,0.14,0,0,1.9,,4.2,,0.75,2.4,,3,,,,,,,,0,1.8,1.7,2,3.1,3.1,6.7,1.7,9,2,2.8,4.2
"Folate, DFE",µg,0,0,0,0,0,145,0,,,,71,,21,23,,,588,290,212,,,25,27,22,42,10,10,81,37,26,25,8,32
"Calcium, Ca",mg,42,10,7,4,0,19,15,1,191,18,48,1,707,22,6.89,4.21,8,5,9,4,6.59,160,16,3,2,23,23,12,20,14,43,33,1
"Carbohydrate, by difference",g,6.38,17.4,0,80.3,0,72.8,8.61,99.6,,,0.96,14.7,,74.6,,,0.73,3.89,2.47,2.22,,0,38.06,31.89,18.7,17.98,17.98,8.53,10.82,15.23,11.8,10.5,8.17
"Iron, Fe",mg,0.07,0.249,0.35,0.14,0,5.55,0.28,0.05,5.34,1.67,1.67,0.39,0.16,1.18,1.97,0.38,8.99,4.9,23.3,4.6,0.065,2.5,0.27,0.55,0.52,0.42,0.42,0.55,0.25,2.43,0.33,0.6,0.14
"Magnesium, Mg",mg,13.9,10.6,25.4,26.5,0,35.9,9,0.3,180,22.7,11.4,25.8,26.8,36.1,16.41,12.18,19,18,18,18,17.98,133,21,36,37,20,20,29,21,32,10.7,6,14.1
Niacin,mg,0,0,0,1.43,0,6.56,0,,,9.92,0.2,1.59,0.052,1.59,,,9.728,13.175,15.301,13.7,,7.5,0.854,0.672,1.77,0.426,0.426,1.738,0.357,0.54,0.425,0.2,2.74
"Phosphorus, P",mg,27,18,204,108,0,124,34,0,522,137,184,75,458,134,144.4,113.9,297,387,288,381,224.1,950,27,32,89,38,38,52,10,113,23,18,76
"Potassium, K",mg,207,204,332,82,0,127,182,2,1540,176,132,237,77,150,273.3,207.9,230,313,273,285,245.1,1458,271,487,270,504,504,485,182,356,166,102,243
Riboflavin,mg,0,0,0,0.08,0,0.436,0,,,0.082,0.419,0.138,0.441,0,,,1.778,2.755,3.005,4.21,,0.24,0.048,0.076,0.055,0.06,0.06,0.13,0.027,0.02,0.051,0.02,0.216
Thiamin,mg,0,0,0,0.065,0,0.953,,,,0.03,0.077,0.079,0.029,0.298,,,0.305,0.189,0.283,1.21,,0.268,0.087,0.062,0.155,0.042,0.042,0.067,0.023,0.066,0.068,0.03,0.001
"Vitamin A, RAE",µg,0,0,0,0,0,0,,,,,180,,316,,,,3296,4968,6502,15434,,42,1,56,9,699,699,7,47,0,,2,
Vitamin B-12,µg,0,0,0,0,0,0,,,,2.57,1.02,,1.06,,,,16.58,59.3,26,59,1.25,10,0,0,0,0,0,0,0,0,,0,
Vitamin B-6,mg,0.138,0.108,0,0.058,0,0.079,,,,0.32,0.063,0.15,0.069,0.085,,,0.85,1.083,0.69,0.22,,0.864,0.088,0.242,0.093,0.116,0.116,0.257,0.038,0.054,0.079,0.043,0.159
"Vitamin C, total ascorbic acid",mg,40.3,168.1,0,0,0,0,,,,,,,,,,,17.9,1.3,25.3,,,3.5,20.6,18.4,6.8,13.1,13.1,10,60.9,3.3,59.1,29.1,
Vitamin E (alpha-tocopherol),mg,0,0,0,0,12.2,0,,,,,,,0.75,,,,0.7,0.38,,0.86,,2.84,0.19,0,0.07,0,0,2.07,0.3,0.24,,0.22,
Vitamin K (phylloquinone),µg,59.4,0,0,0,25,0,,,,,,,2.4,,,,,3.1,,,,0.4,1.9,28.8,0.3,0.2,0.2,21,2.6,0.2,0,0.6,
"Zinc, Zn",mg,0.21,0.1,0.62,1.35,0,1.06,0.12,0.01,3.37,0.66,1.24,0.56,3.67,1.15,3.85,1.07,2.67,4,5.76,3.4,0.305,1.59,0.34,0.19,0.46,0.35,0.35,0.64,0.08,1.1,0.11,0.11,0.76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
**Per 100g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haiti Import,,$0.45,$4.80,$1.82,$0.77,$0.18,$1.58,$0.47,$0.50,$0.46,$0.53,$0.50,$1.20,$0.82,$0.60,$1.10,$1.20,$0.47,No specific data,$0.45,No specific data,$0.65,$1.30,Not Imported,No specific data,$0.06,Not imported,Not imported,Not imported,Not imported,Not imported,Not imported,Not imported,Not imported
Haiti Local,,$0.20,$4.50,$1.70,$0.31,$0.10,$0.49,$0.26,$0.35,$0.28,$0.48,$0.25,$1.00,$0.82,Not locally produced,$1.10,Not locally produced,Not locally produced,Not locally produced,Not locally produced,Not locally produced,Not locally produced,Not locally produced,$0.20,$0.20,$0.05,$0.30,$0.22,$0.60,$0.17,$0.20,$0.10,$0.15,$24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,ri,,,,,,,,