,Unit,Cabbage,Mango,Chicken,Rice,Soybean Oil,Bread,Onion,Raw Suagr,Beans (Black),Fish/Tuna,Eggs,Corn,Cheese ,Wheat
"Sodium, Na",mg,16,2.49,48,0,0,3,2,1,0,219,129,2.5,654,2
Energy,kcal,31,78,127,359,0,363,36,401,0,85,143,85,409,362
Protein,g,0.96,0.69,21.4,7.04,0,14.3,0.89,0,24.4,19,12.4,2.79,23.3,12
"Fiber, total dietary",g,0,1.3,0,0.1,0,0,1.2,0,4.2,0,0.75,2.4,0,3
"Folate, DFE",µg,0,0,0,0,0,145,0,0,0,0,71,0,21,23
"Calcium, Ca",mg,42,10,7,4,0,19,21,1,191,18,48,1,707,22
"Carbohydrate, by difference",g,6.38,17.4,0,80.3,0,72.8,7.68,99.6,0,0,0.96,14.7,0,74.6
"Iron, Fe",mg,0.07,0.249,0.35,0.14,0,5.55,0.15,0.05,5.34,1.67,1.67,0.39,0.16,1.18
"Magnesium, Mg",mg,13.9,10.6,25.4,26.5,0,35.9,9.3,0.3,180,22.7,11.4,25.8,26.8,36.1
Niacin,mg,0,0,0,1.43,0,6.56,0,0,0,9.92,0.2,1.59,0.052,1.59
"Phosphorus, P",mg,27,18,204,108,0,124,29,0,522,137,184,75,458,134
"Potassium, K",mg,207,204,332,82,0,127,141,2,1540,176,132,237,77,150
Riboflavin,mg,0,0,0,0.08,0,0.436,0,0,0,0.082,0.419,0.138,0.441,0
Thiamin,mg,0,0,0,0.065,0,0.953,0,0,0,0.03,0.077,0.079,0.029,0.298
"Vitamin A, RAE",µg,0,0,0,0,0,0,0,0,0,0,180,0,316,0
Vitamin B-12,µg,0,0,0,0,0,0,0,0,0,2.57,1.02,0,1.06,0
Vitamin B-6,mg,0.138,0.108,0,0.058,0,0.079,0,0,0,0.32,0.063,0.15,0.069,0.085
"Vitamin C, total ascorbic acid",mg,40.3,168,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin E (alpha-tocopherol),mg,0,0,0,0,12.2,0,0,0,0,0,0,0,0.75,0
Vitamin K (phylloquinone),µg,59.4,0,0,0,0,0,0,0,0,0,0,0,2.4,0
"Zinc, Zn",mg,0.21,0.1,0.62,1.35,0,1.06,0.12,0.01,3.37,0.66,1.24,0.56,3.67,1.15